"GeneID"	"Symbol"	"description"
"4677"	"NARS"	"asparaginyl-tRNA synthetase"
"79731"	"NARS2"	"asparaginyl-tRNA synthetase 2, mitochondrial (putative)"
"55226"	"NAT10"	"N-acetyltransferase 10"
"4683"	"NBN"	"nibrin"
"4077"	"NBR1"	"NBR1, autophagy cargo receptor"
"29781"	"NCAPH2"	"non-SMC condensin II complex subunit H2"
"22916"	"NCBP2"	"nuclear cap binding protein subunit 2"
"4690"	"NCK1"	"NCK adaptor protein 1"
"51517"	"NCKIPSD"	"NCK interacting protein with SH3 domain"
"4691"	"NCL"	"nucleolin"
"56926"	"NCLN"	"nicalin"
"8648"	"NCOA1"	"nuclear receptor coactivator 1"
"23054"	"NCOA6"	"nuclear receptor coactivator 6"
"9611"	"NCOR1"	"nuclear receptor corepressor 1"
"23385"	"NCSTN"	"nicastrin"
"81565"	"NDEL1"	"nudE neurodevelopment protein 1 like 1"
"80762"	"NDFIP1"	"Nedd4 family interacting protein 1"
"56160"	"NSMCE3"	"NSE3 homolog, SMC5-SMC6 complex component"
"3340"	"NDST1"	"N-deacetylase and N-sulfotransferase 1"
"4705"	"NDUFA10"	"NADH:ubiquinone oxidoreductase subunit A10"
"126328"	"NDUFA11"	"NADH:ubiquinone oxidoreductase subunit A11"
"55967"	"NDUFA12"	"NADH:ubiquinone oxidoreductase subunit A12"
"51079"	"NDUFA13"	"NADH:ubiquinone oxidoreductase subunit A13"
"4695"	"NDUFA2"	"NADH:ubiquinone oxidoreductase subunit A2"
"4696"	"NDUFA3"	"NADH:ubiquinone oxidoreductase subunit A3"
"4697"	"NDUFA4"	"NDUFA4, mitochondrial complex associated"
"4698"	"NDUFA5"	"NADH:ubiquinone oxidoreductase subunit A5"
"4700"	"NDUFA6"	"NADH:ubiquinone oxidoreductase subunit A6"
"4701"	"NDUFA7"	"NADH:ubiquinone oxidoreductase subunit A7"
"4702"	"NDUFA8"	"NADH:ubiquinone oxidoreductase subunit A8"
"4704"	"NDUFA9"	"NADH:ubiquinone oxidoreductase subunit A9"
"91942"	"NDUFAF2"	"NADH:ubiquinone oxidoreductase complex assembly factor 2"
"25915"	"NDUFAF3"	"NADH:ubiquinone oxidoreductase complex assembly factor 3"
"29078"	"NDUFAF4"	"NADH:ubiquinone oxidoreductase complex assembly factor 4"
"4716"	"NDUFB10"	"NADH:ubiquinone oxidoreductase subunit B10"
"54539"	"NDUFB11"	"NADH:ubiquinone oxidoreductase subunit B11"
"4708"	"NDUFB2"	"NADH:ubiquinone oxidoreductase subunit B2"
"4709"	"NDUFB3"	"NADH:ubiquinone oxidoreductase subunit B3"
"4710"	"NDUFB4"	"NADH:ubiquinone oxidoreductase subunit B4"
"4711"	"NDUFB5"	"NADH:ubiquinone oxidoreductase subunit B5"
"4712"	"NDUFB6"	"NADH:ubiquinone oxidoreductase subunit B6"
"4713"	"NDUFB7"	"NADH:ubiquinone oxidoreductase subunit B7"
"4714"	"NDUFB8"	"NADH:ubiquinone oxidoreductase subunit B8"
"4715"	"NDUFB9"	"NADH:ubiquinone oxidoreductase subunit B9"
"4717"	"NDUFC1"	"NADH:ubiquinone oxidoreductase subunit C1"
"4718"	"NDUFC2"	"NADH:ubiquinone oxidoreductase subunit C2"
"100532726"	"NDUFC2-KCTD14"	"NDUFC2-KCTD14 readthrough"
"4720"	"NDUFS2"	"NADH:ubiquinone oxidoreductase core subunit S2"
"4722"	"NDUFS3"	"NADH:ubiquinone oxidoreductase core subunit S3"
"4724"	"NDUFS4"	"NADH:ubiquinone oxidoreductase subunit S4"
"4725"	"NDUFS5"	"NADH:ubiquinone oxidoreductase subunit S5"
"4726"	"NDUFS6"	"NADH:ubiquinone oxidoreductase subunit S6"
"374291"	"NDUFS7"	"NADH:ubiquinone oxidoreductase core subunit S7"
"4728"	"NDUFS8"	"NADH:ubiquinone oxidoreductase core subunit S8"
"4723"	"NDUFV1"	"NADH:ubiquinone oxidoreductase core subunit V1"
"4729"	"NDUFV2"	"NADH:ubiquinone oxidoreductase core subunit V2"
"25977"	"NECAP1"	"NECAP endocytosis associated 1"
"4738"	"NEDD8"	"neural precursor cell expressed, developmentally down-regulated 8"
"100528064"	"NEDD8-MDP1"	"NEDD8-MDP1 readthrough"
"252969"	"NEIL2"	"nei like DNA glycosylase 2"
"6787"	"NEK4"	"NIMA related kinase 4"
"91754"	"NEK9"	"NIMA related kinase 9"
"25920"	"NELFB"	"negative elongation factor complex member B"
"51497"	"NELFCD"	"negative elongation factor complex member C/D"
"7936"	"NELFE"	"negative elongation factor complex member E"
"29937"	"NENF"	"neudesin neurotrophic factor"
"4758"	"NEU1"	"neuraminidase 1"
"4771"	"NF2"	"neurofibromin 2"
"84901"	"NFATC2IP"	"nuclear factor of activated T-cells 2 interacting protein"
"4780"	"NFE2L2"	"nuclear factor, erythroid 2 like 2"
"4783"	"NFIL3"	"nuclear factor, interleukin 3 regulated"
"4793"	"NFKBIB"	"NFKB inhibitor beta"
"4795"	"NFKBIL1"	"NFKB inhibitor like 1"
"27247"	"NFU1"	"NFU1 iron-sulfur cluster scaffold"
"4799"	"NFX1"	"nuclear transcription factor, X-box binding 1"
"4801"	"NFYB"	"nuclear transcription factor Y subunit beta"
"4802"	"NFYC"	"nuclear transcription factor Y subunit gamma"
"25983"	"NGDN"	"neuroguidin"
"55768"	"NGLY1"	"N-glycanase 1"
"51335"	"NGRN"	"neugrin, neurite outgrowth associated"
"55651"	"NHP2"	"NHP2 ribonucleoprotein"
"4809"	"SNU13"	"small nuclear ribonucleoprotein 13"
"60491"	"NIF3L1"	"NGG1 interacting factor 3 like 1"
"4814"	"NINJ1"	"ninjurin 1"
"51388"	"NIP7"	"NIP7, nucleolar pre-rRNA processing protein"
"81614"	"NIPA2"	"non imprinted in Prader-Willi/Angelman syndrome 2"
"25836"	"NIPBL"	"NIPBL, cohesin loading factor"
"11188"	"NISCH"	"nischarin"
"4817"	"NIT1"	"nitrilase 1"
"56954"	"NIT2"	"nitrilase family member 2"
"79576"	"NKAP"	"NFKB activating protein"
"28511"	"NKIRAS2"	"NFKB inhibitor interacting Ras like 2"
"51068"	"NMD3"	"NMD3 ribosome export adaptor"
"654364"	"NME1-NME2"	"NME1-NME2 readthrough"
"4831"	"NME2"	"NME/NM23 nucleoside diphosphate kinase 2"
"4832"	"NME3"	"NME/NM23 nucleoside diphosphate kinase 3"
"10201"	"NME6"	"NME/NM23 nucleoside diphosphate kinase 6"
"54981"	"NMRK1"	"nicotinamide riboside kinase 1"
"4836"	"NMT1"	"N-myristoyltransferase 1"
"84273"	"NOA1"	"nitric oxide associated 1"
"28987"	"NOB1"	"NIN1/PSMD8 binding protein 1 homolog"
"26155"	"NOC2L"	"NOC2 like nucleolar associated transcriptional repressor"
"79954"	"NOL10"	"nucleolar protein 10"
"25926"	"NOL11"	"nucleolar protein 11"
"79159"	"NOL12"	"nucleolar protein 12"
"65083"	"NOL6"	"nucleolar protein 6"
"51406"	"NOL7"	"nucleolar protein 7"
"55035"	"NOL8"	"nucleolar protein 8"
"9221"	"NOLC1"	"nucleolar and coiled-body phosphoprotein 1"
"64434"	"NOM1"	"nucleolar protein with MIF4G domain 1"
"4841"	"NONO"	"non-POU domain containing, octamer-binding"
"55505"	"NOP10"	"NOP10 ribonucleoprotein"
"8602"	"NOP14"	"NOP14 nucleolar protein"
"51491"	"NOP16"	"NOP16 nucleolar protein"
"4839"	"NOP2"	"NOP2 nucleolar protein"
"10528"	"NOP56"	"NOP56 ribonucleoprotein"
"51602"	"NOP58"	"NOP58 ribonucleoprotein"
"161424"	"NOP9"	"NOP9 nucleolar protein"
"4864"	"NPC1"	"NPC intracellular cholesterol transporter 1"
"10577"	"NPC2"	"NPC intracellular cholesterol transporter 2"
"55666"	"NPLOC4"	"NPL4 homolog, ubiquitin recognition factor"
"10641"	"NPRL2"	"NPR2-like, GATOR1 complex subunit"
"8131"	"NPRL3"	"NPR3 like, GATOR1 complex subunit"
"4835"	"NQO2"	"N-ribosyldihydronicotinamide:quinone reductase 2"
"7376"	"NR1H2"	"nuclear receptor subfamily 1 group H member 2"
"7181"	"NR2C1"	"nuclear receptor subfamily 2 group C member 1"
"126382"	"NR2C2AP"	"nuclear receptor 2C2 associated protein"
"4306"	"NR3C2"	"nuclear receptor subfamily 3 group C member 2"
"29959"	"NRBP1"	"nuclear receptor binding protein 1"
"55051"	"NRDE2"	"NRDE-2, necessary for RNA interference, domain containing"
"8204"	"NRIP1"	"nuclear receptor interacting protein 1"
"10412"	"NSA2"	"NSA2, ribosome biogenesis homolog"
"64324"	"NSD1"	"nuclear receptor binding SET domain protein 1"
"50814"	"NSDHL"	"NAD(P) dependent steroid dehydrogenase-like"
"55968"	"NSFL1C"	"NSFL1 cofactor"
"197370"	"NSMCE1"	"NSE1 homolog, SMC5-SMC6 complex component"
"286053"	"NSMCE2"	"NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase"
"54780"	"NSMCE4A"	"NSE4 homolog A, SMC5-SMC6 complex component"
"84081"	"NSRP1"	"nuclear speckle splicing regulatory protein 1"
"54888"	"NSUN2"	"NOP2/Sun RNA methyltransferase family member 2"
"55695"	"NSUN5"	"NOP2/Sun RNA methyltransferase family member 5"
"221078"	"NSUN6"	"NOP2/Sun RNA methyltransferase family member 6"
"30833"	"NT5C"	"5', 3'-nucleotidase, cytosolic"
"51251"	"NT5C3A"	"5'-nucleotidase, cytosolic IIIA"
"221294"	"NT5DC1"	"5'-nucleotidase domain containing 1"
"123803"	"NTAN1"	"N-terminal asparagine amidase"
"28989"	"NTMT1"	"N-terminal Xaa-Pro-Lys N-methyltransferase 1"
"84284"	"NTPCR"	"nucleoside-triphosphatase, cancer-related"
"51667"	"NUB1"	"negative regulator of ubiquitin like proteins 1"
"4682"	"NUBP1"	"nucleotide binding protein 1"
"10101"	"NUBP2"	"nucleotide binding protein 2"
"4924"	"NUCB1"	"nucleobindin 1"
"64710"	"NUCKS1"	"nuclear casein kinase and cyclin dependent kinase substrate 1"
"10726"	"NUDC"	"nuclear distribution C, dynein complex regulator"
"84955"	"NUDCD1"	"NudC domain containing 1"
"134492"	"NUDCD2"	"NudC domain containing 2"
"256281"	"NUDT14"	"nudix hydrolase 14"
"55270"	"NUDT15"	"nudix hydrolase 15"
"318"	"NUDT2"	"nudix hydrolase 2"
"11051"	"NUDT21"	"nudix hydrolase 21"
"84304"	"NUDT22"	"nudix hydrolase 22"
"11165"	"NUDT3"	"nudix hydrolase 3"
"53343"	"NUDT9"	"nudix hydrolase 9"
"57532"	"NUFIP2"	"NUFIP2, FMR1 interacting protein 2"
"57122"	"NUP107"	"nucleoporin 107"
"55746"	"NUP133"	"nucleoporin 133"
"9972"	"NUP153"	"nucleoporin 153"
"53371"	"NUP54"	"nucleoporin 54"
"23636"	"NUP62"	"nucleoporin 62"
"79902"	"NUP85"	"nucleoporin 85"
"11097"	"NUPL2"	"nucleoporin like 2"
"10204"	"NUTF2"	"nuclear transport factor 2"
"10482"	"NXF1"	"nuclear RNA export factor 1"
"29107"	"NXT1"	"nuclear transport factor 2 like export factor 1"
"4942"	"OAT"	"ornithine aminotransferase"
"4946"	"OAZ1"	"ornithine decarboxylase antizyme 1"
"4947"	"OAZ2"	"ornithine decarboxylase antizyme 2"
"79991"	"STN1"	"STN1, CST complex subunit"
"79629"	"OCEL1"	"occludin/ELL domain containing 1"
"54940"	"OCIAD1"	"OCIA domain containing 1"
"4953"	"ODC1"	"ornithine decarboxylase 1"
"55239"	"OGFOD1"	"2-oxoglutarate and iron dependent oxygenase domain containing 1"
"79701"	"OGFOD3"	"2-oxoglutarate and iron dependent oxygenase domain containing 3"
"11054"	"OGFR"	"opioid growth factor receptor"
"4968"	"OGG1"	"8-oxoguanine DNA glycosylase"
"8473"	"OGT"	"O-linked N-acetylglucosamine (GlcNAc) transferase"
"29789"	"OLA1"	"Obg like ATPase 1"
"4976"	"OPA1"	"OPA1, mitochondrial dynamin like GTPase"
"80207"	"OPA3"	"OPA3, outer mitochondrial membrane lipid metabolism regulator"
"5000"	"ORC4"	"origin recognition complex subunit 4"
"94101"	"ORMDL1"	"ORMDL sphingolipid biosynthesis regulator 1"
"29095"	"ORMDL2"	"ORMDL sphingolipid biosynthesis regulator 2"
"94103"	"ORMDL3"	"ORMDL sphingolipid biosynthesis regulator 3"
"10956"	"OS9"	"OS9, endoplasmic reticulum lectin"
"5007"	"OSBP"	"oxysterol binding protein"
"9885"	"OSBPL2"	"oxysterol binding protein like 2"
"114883"	"OSBPL9"	"oxysterol binding protein like 9"
"55644"	"OSGEP"	"O-sialoglycoprotein endopeptidase"
"734"	"OSGIN2"	"oxidative stress induced growth inhibitor family member 2"
"28962"	"OSTM1"	"osteopetrosis associated transmembrane protein 1"
"55611"	"OTUB1"	"OTU deubiquitinase, ubiquitin aldehyde binding 1"
"55593"	"OTUD5"	"OTU deubiquitinase 5"
"124641"	"OVCA2"	"OVCA2 serine hydrolase domain containing"
"5018"	"OXA1L"	"OXA1L, mitochondrial inner membrane protein"
"92106"	"OXNAD1"	"oxidoreductase NAD binding domain containing 1"
"54681"	"P4HTM"	"prolyl 4-hydroxylase, transmembrane"
"5036"	"PA2G4"	"proliferation-associated 2G4"
"8106"	"PABPN1"	"poly(A) binding protein nuclear 1"
"11252"	"PACSIN2"	"protein kinase C and casein kinase substrate in neurons 2"
"54623"	"PAF1"	"PAF1 homolog, Paf1/RNA polymerase II complex component"
"5048"	"PAFAH1B1"	"platelet activating factor acetylhydrolase 1b regulatory subunit 1"
"79447"	"PAGR1"	"PAXIP1 associated glutamate rich protein 1"
"10606"	"PAICS"	"phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"10605"	"PAIP1"	"poly(A) binding protein interacting protein 1"
"51247"	"PAIP2"	"poly(A) binding protein interacting protein 2"
"55003"	"PAK1IP1"	"PAK1 interacting protein 1"
"5062"	"PAK2"	"p21 (RAC1) activated kinase 2"
"51025"	"PAM16"	"presequence translocase associated motor 16 homolog"
"80025"	"PANK2"	"pantothenate kinase 2"
"79646"	"PANK3"	"pantothenate kinase 3"
"55229"	"PANK4"	"pantothenate kinase 4"
"24145"	"PANX1"	"pannexin 1"
"167153"	"PAPD4"	"poly(A) RNA polymerase D4, non-canonical"
"11044"	"PAPD7"	"poly(A) RNA polymerase D7, non-canonical"
"10914"	"PAPOLA"	"poly(A) polymerase alpha"
"11315"	"PARK7"	"Parkinsonism associated deglycase"
"55486"	"PARL"	"presenilin associated rhomboid like"
"5073"	"PARN"	"poly(A)-specific ribonuclease"
"142"	"PARP1"	"poly(ADP-ribose) polymerase 1"
"10039"	"PARP3"	"poly(ADP-ribose) polymerase family member 3"
"83666"	"PARP9"	"poly(ADP-ribose) polymerase family member 9"
"219988"	"PATL1"	"PAT1 homolog 1, processing body mRNA decay factor"
"23598"	"PATZ1"	"POZ/BTB and AT hook containing zinc finger 1"
"94104"	"PAXBP1"	"PAX3 and PAX7 binding protein 1"
"51260"	"PBDC1"	"polysaccharide biosynthesis domain containing 1"
"5089"	"PBX2"	"PBX homeobox 2"
"5093"	"PCBP1"	"poly(rC) binding protein 1"
"5094"	"PCBP2"	"poly(rC) binding protein 2"
"56101"	"PCDHGB5"	"protocadherin gamma subfamily B, 5"
"51585"	"PCF11"	"PCF11 cleavage and polyadenylation factor subunit"
"84759"	"PCGF1"	"polycomb group ring finger 1"
"84333"	"PCGF5"	"polycomb group ring finger 5"
"55795"	"PCID2"	"PCI domain containing 2"
"63935"	"PCIF1"	"PDX1 C-terminal inhibiting factor 1"
"5108"	"PCM1"	"pericentriolar material 1"
"5110"	"PCMT1"	"protein-L-isoaspartate (D-aspartate) O-methyltransferase"
"5111"	"PCNA"	"proliferating cell nuclear antigen"
"22990"	"PCNX1"	"pecanex homolog 1 (Drosophila)"
"64430"	"PCNX4"	"pecanex homolog 4 (Drosophila)"
"9159"	"PCSK7"	"proprotein convertase subtilisin/kexin type 7"
"51449"	"PCYOX1"	"prenylcysteine oxidase 1"
"5130"	"PCYT1A"	"phosphate cytidylyltransferase 1, choline, alpha"
"11333"	"PDAP1"	"PDGFA associated protein 1"
"5134"	"PDCD2"	"programmed cell death 2"
"9141"	"PDCD5"	"programmed cell death 5"
"10016"	"PDCD6"	"programmed cell death 6"
"10015"	"PDCD6IP"	"programmed cell death 6 interacting protein"
"201626"	"PDE12"	"phosphodiesterase 12"
"5147"	"PDE6D"	"phosphodiesterase 6D"
"56034"	"PDGFC"	"platelet derived growth factor C"
"5162"	"PDHB"	"pyruvate dehydrogenase (lipoamide) beta"
"8050"	"PDHX"	"pyruvate dehydrogenase complex component X"
"5164"	"PDK2"	"pyruvate dehydrogenase kinase 2"
"10611"	"PDLIM5"	"PDZ and LIM domain 5"
"57546"	"PDP2"	"pyruvate dehyrogenase phosphatase catalytic subunit 2"
"23244"	"PDS5A"	"PDS5 cohesin associated factor A"
"51248"	"PDZD11"	"PDZ domain containing 11"
"118987"	"PDZD8"	"PDZ domain containing 8"
"5037"	"PEBP1"	"phosphatidylethanolamine binding protein 1"
"553115"	"PEF1"	"penta-EF-hand domain containing 1"
"53918"	"PELO"	"pelota homolog (Drosophila)"
"27043"	"PELP1"	"proline, glutamate and leucine rich protein 1"
"5184"	"PEPD"	"peptidase D"
"23481"	"PES1"	"pescadillo ribosomal biogenesis factor 1"
"100131801"	"PET100"	"PET100 homolog"
"100303755"	"PET117"	"PET117 homolog"
"5189"	"PEX1"	"peroxisomal biogenesis factor 1"
"8800"	"PEX11A"	"peroxisomal biogenesis factor 11 alpha"
"8799"	"PEX11B"	"peroxisomal biogenesis factor 11 beta"
"5193"	"PEX12"	"peroxisomal biogenesis factor 12"
"5194"	"PEX13"	"peroxisomal biogenesis factor 13"
"5195"	"PEX14"	"peroxisomal biogenesis factor 14"
"9409"	"PEX16"	"peroxisomal biogenesis factor 16"
"5824"	"PEX19"	"peroxisomal biogenesis factor 19"
"5828"	"PEX2"	"peroxisomal biogenesis factor 2"
"55670"	"PEX26"	"peroxisomal biogenesis factor 26"
"5830"	"PEX5"	"peroxisomal biogenesis factor 5"
"5190"	"PEX6"	"peroxisomal biogenesis factor 6"
"5202"	"PFDN2"	"prefoldin subunit 2"
"5203"	"PFDN4"	"prefoldin subunit 4"
"5204"	"PFDN5"	"prefoldin subunit 5"
"10471"	"PFDN6"	"prefoldin subunit 6"
"5216"	"PFN1"	"profilin 1"
"192111"	"PGAM5"	"PGAM family member 5, mitochondrial serine/threonine protein phosphatase"
"267004"	"PGBD3"	"piggyBac transposable element derived 3"
"5230"	"PGK1"	"phosphoglycerate kinase 1"
"25796"	"PGLS"	"6-phosphogluconolactonase"
"283871"	"PGP"	"phosphoglycolate phosphatase"
"54858"	"PGPEP1"	"pyroglutamyl-peptidase I"
"10424"	"PGRMC2"	"progesterone receptor membrane component 2"
"65979"	"PHACTR4"	"phosphatase and actin regulator 4"
"51808"	"PHAX"	"phosphorylated adaptor for RNA export"
"5245"	"PHB"	"prohibitin"
"11331"	"PHB2"	"prohibitin 2"
"1912"	"PHC2"	"polyhomeotic homolog 2"
"55274"	"PHF10"	"PHD finger protein 10"
"57649"	"PHF12"	"PHD finger protein 12"
"51105"	"PHF20L1"	"PHD finger protein 20-like 1"
"79142"	"PHF23"	"PHD finger protein 23"
"84844"	"PHF5A"	"PHD finger protein 5A"
"5257"	"PHKB"	"phosphorylase kinase regulatory subunit beta"
"29085"	"PHPT1"	"phosphohistidine phosphatase 1"
"57661"	"PHRF1"	"PHD and ring finger domains 1"
"55361"	"PI4K2A"	"phosphatidylinositol 4-kinase type 2 alpha"
"5297"	"PI4KA"	"phosphatidylinositol 4-kinase alpha"
"5298"	"PI4KB"	"phosphatidylinositol 4-kinase beta"
"8554"	"PIAS1"	"protein inhibitor of activated STAT 1"
"8301"	"PICALM"	"phosphatidylinositol binding clathrin assembly protein"
"9463"	"PICK1"	"protein interacting with PRKCA 1"
"5279"	"PIGC"	"phosphatidylinositol glycan anchor biosynthesis class C"
"5281"	"PIGF"	"phosphatidylinositol glycan anchor biosynthesis class F"
"54872"	"PIGG"	"phosphatidylinositol glycan anchor biosynthesis class G"
"5283"	"PIGH"	"phosphatidylinositol glycan anchor biosynthesis class H"
"10026"	"PIGK"	"phosphatidylinositol glycan anchor biosynthesis class K"
"51227"	"PIGP"	"phosphatidylinositol glycan anchor biosynthesis class P"
"94005"	"PIGS"	"phosphatidylinositol glycan anchor biosynthesis class S"
"51604"	"PIGT"	"phosphatidylinositol glycan anchor biosynthesis class T"
"128869"	"PIGU"	"phosphatidylinositol glycan anchor biosynthesis class U"
"284098"	"PIGW"	"phosphatidylinositol glycan anchor biosynthesis class W"
"54965"	"PIGX"	"phosphatidylinositol glycan anchor biosynthesis class X"
"84992"	"PIGY"	"phosphatidylinositol glycan anchor biosynthesis class Y"
"55011"	"PIH1D1"	"PIH1 domain containing 1"
"5289"	"PIK3C3"	"phosphatidylinositol 3-kinase catalytic subunit type 3"
"5291"	"PIK3CB"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
"5295"	"PIK3R1"	"phosphoinositide-3-kinase regulatory subunit 1"
"30849"	"PIK3R4"	"phosphoinositide-3-kinase regulatory subunit 4"
"5300"	"PIN1"	"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"
"65018"	"PINK1"	"PTEN induced putative kinase 1"
"54984"	"PINX1"	"PIN2/TERF1 interacting, telomerase inhibitor 1"
"8394"	"PIP5K1A"	"phosphatidylinositol-4-phosphate 5-kinase type 1 alpha"
"57095"	"PITHD1"	"PITH domain containing 1"
"5306"	"PITPNA"	"phosphatidylinositol transfer protein alpha"
"23760"	"PITPNB"	"phosphatidylinositol transfer protein beta"
"10531"	"PITRM1"	"pitrilysin metallopeptidase 1"
"81579"	"PLA2G12A"	"phospholipase A2 group XIIA"
"9373"	"PLAA"	"phospholipase A2 activating protein"
"196463"	"PLBD2"	"phospholipase B domain containing 2"
"23646"	"PLD3"	"phospholipase D family member 3"
"59338"	"PLEKHA1"	"pleckstrin homology domain containing A1"
"55111"	"PLEKHJ1"	"pleckstrin homology domain containing J1"
"9842"	"PLEKHM1"	"pleckstrin homology and RUN domain containing M1"
"55848"	"PLGRKT"	"plasminogen receptor with a C-terminal lysine"
"10226"	"PLIN3"	"perilipin 3"
"5351"	"PLOD1"	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
"8985"	"PLOD3"	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
"5356"	"PLRG1"	"pleiotropic regulator 1"
"11243"	"PMF1"	"polyamine modulated factor 1"
"100527963"	"PMF1-BGLAP"	"PMF1-BGLAP readthrough"
"23203"	"PMPCA"	"peptidase, mitochondrial processing alpha subunit"
"9512"	"PMPCB"	"peptidase, mitochondrial processing beta subunit"
"5378"	"PMS1"	"PMS1 homolog 1, mismatch repair system component"
"10654"	"PMVK"	"phosphomevalonate kinase"
"25957"	"PNISR"	"PNN interacting serine and arginine rich protein"
"25953"	"PNKD"	"paroxysmal nonkinesigenic dyskinesia"
"11284"	"PNKP"	"polynucleotide kinase 3'-phosphatase"
"5411"	"PNN"	"pinin, desmosome associated protein"
"56902"	"PNO1"	"partner of NOB1 homolog"
"10908"	"PNPLA6"	"patatin like phospholipase domain containing 6"
"50640"	"PNPLA8"	"patatin like phospholipase domain containing 8"
"55163"	"PNPO"	"pyridoxamine 5'-phosphate oxidase"
"87178"	"PNPT1"	"polyribonucleotide nucleotidyltransferase 1"
"55629"	"PNRC2"	"proline rich nuclear receptor coactivator 2"
"23509"	"POFUT1"	"protein O-fucosyltransferase 1"
"5425"	"POLD2"	"DNA polymerase delta 2, accessory subunit"
"26073"	"POLDIP2"	"DNA polymerase delta interacting protein 2"
"84271"	"POLDIP3"	"DNA polymerase delta interacting protein 3"
"54107"	"POLE3"	"DNA polymerase epsilon 3, accessory subunit"
"56655"	"POLE4"	"DNA polymerase epsilon 4, accessory subunit"
"5428"	"POLG"	"DNA polymerase gamma, catalytic subunit"
"5429"	"POLH"	"DNA polymerase eta"
"51426"	"POLK"	"DNA polymerase kappa"
"27343"	"POLL"	"DNA polymerase lambda"
"27434"	"POLM"	"DNA polymerase mu"
"9533"	"POLR1C"	"RNA polymerase I subunit C"
"51082"	"POLR1D"	"RNA polymerase I subunit D"
"64425"	"POLR1E"	"RNA polymerase I subunit E"
"5430"	"POLR2A"	"RNA polymerase II subunit A"
"5431"	"POLR2B"	"RNA polymerase II subunit B"
"5432"	"POLR2C"	"RNA polymerase II subunit C"
"5433"	"POLR2D"	"RNA polymerase II subunit D"
"5434"	"POLR2E"	"RNA polymerase II subunit E"
"5435"	"POLR2F"	"RNA polymerase II subunit F"
"5436"	"POLR2G"	"RNA polymerase II subunit G"
"5437"	"POLR2H"	"RNA polymerase II subunit H"
"5438"	"POLR2I"	"RNA polymerase II subunit I"
"5439"	"POLR2J"	"RNA polymerase II subunit J"
"5440"	"POLR2K"	"RNA polymerase II subunit K"
"5441"	"POLR2L"	"RNA polymerase II subunit L"
"10623"	"POLR3C"	"RNA polymerase III subunit C"
"55718"	"POLR3E"	"RNA polymerase III subunit E"
"84265"	"POLR3GL"	"RNA polymerase III subunit G like"
"51728"	"POLR3K"	"RNA polymerase III subunit K"
"9883"	"POM121"	"POM121 transmembrane nucleoporin"
"100101267"	"POM121C"	"POM121 transmembrane nucleoporin C"
"55624"	"POMGNT1"	"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"
"51371"	"POMP"	"proteasome maturation protein"
"10585"	"POMT1"	"protein O-mannosyltransferase 1"
"10775"	"POP4"	"POP4 homolog, ribonuclease P/MRP subunit"
"51367"	"POP5"	"POP5 homolog, ribonuclease P/MRP subunit"
"10248"	"POP7"	"POP7 homolog, ribonuclease P/MRP subunit"
"5464"	"PPA1"	"pyrophosphatase (inorganic) 1"
"27068"	"PPA2"	"pyrophosphatase (inorganic) 2"
"56342"	"PPAN"	"peter pan homolog (Drosophila)"
"692312"	"PPAN-P2RY11"	"PPAN-P2RY11 readthrough"
"5465"	"PPARA"	"peroxisome proliferator activated receptor alpha"
"5467"	"PPARD"	"peroxisome proliferator activated receptor delta"
"79717"	"PPCS"	"phosphopantothenoylcysteine synthetase"
"8500"	"PPFIA1"	"PTPRF interacting protein alpha 1"
"51535"	"PPHLN1"	"periphilin 1"
"5481"	"PPID"	"peptidylprolyl isomerase D"
"10450"	"PPIE"	"peptidylprolyl isomerase E"
"10105"	"PPIF"	"peptidylprolyl isomerase F"
"9360"	"PPIG"	"peptidylprolyl isomerase G"
"10465"	"PPIH"	"peptidylprolyl isomerase H"
"85313"	"PPIL4"	"peptidylprolyl isomerase like 4"
"5494"	"PPM1A"	"protein phosphatase, Mg2+/Mn2+ dependent 1A"
"5495"	"PPM1B"	"protein phosphatase, Mg2+/Mn2+ dependent 1B"
"5499"	"PPP1CA"	"protein phosphatase 1 catalytic subunit alpha"
"5501"	"PPP1CC"	"protein phosphatase 1 catalytic subunit gamma"
"5514"	"PPP1R10"	"protein phosphatase 1 regulatory subunit 10"
"6992"	"PPP1R11"	"protein phosphatase 1 regulatory inhibitor subunit 11"
"84919"	"PPP1R15B"	"protein phosphatase 1 regulatory subunit 15B"
"284352"	"PPP1R37"	"protein phosphatase 1 regulatory subunit 37"
"5510"	"PPP1R7"	"protein phosphatase 1 regulatory subunit 7"
"5511"	"PPP1R8"	"protein phosphatase 1 regulatory subunit 8"
"5515"	"PPP2CA"	"protein phosphatase 2 catalytic subunit alpha"
"5516"	"PPP2CB"	"protein phosphatase 2 catalytic subunit beta"
"5518"	"PPP2R1A"	"protein phosphatase 2 scaffold subunit Aalpha"
"5520"	"PPP2R2A"	"protein phosphatase 2 regulatory subunit Balpha"
